\\TNM\\T\\;ID_29;T;;2019-01-25 14:22:58.099445;2019-01-25 14:22:58.099448;2019-01-25 14:22:58.099450;TEST_OSIRIS;None
\\TNM\\T\\Tx\\;T:Tx;T;;2019-01-25 14:22:59.092086;2019-01-25 14:22:59.092101;2019-01-25 14:22:59.092104;TEST_OSIRIS;None
\\TNM\\T\\T0\\;T:T0;T;;2019-01-25 14:22:59.092426;2019-01-25 14:22:59.092431;2019-01-25 14:22:59.092433;TEST_OSIRIS;None
\\TNM\\T\\T1\\;T:T1;T;;2019-01-25 14:22:59.092447;2019-01-25 14:22:59.092449;2019-01-25 14:22:59.092451;TEST_OSIRIS;None
\\TNM\\T\\T1a\\;T:T1a;T;;2019-01-25 14:22:59.092464;2019-01-25 14:22:59.092466;2019-01-25 14:22:59.092468;TEST_OSIRIS;None
\\TNM\\T\\T1b\\;T:T1b;T;;2019-01-25 14:22:59.092479;2019-01-25 14:22:59.092481;2019-01-25 14:22:59.092482;TEST_OSIRIS;None
\\TNM\\T\\T1c\\;T:T1c;T;;2019-01-25 14:22:59.092494;2019-01-25 14:22:59.092496;2019-01-25 14:22:59.092498;TEST_OSIRIS;None
\\TNM\\T\\T2\\;T:T2;T;;2019-01-25 14:22:59.092509;2019-01-25 14:22:59.092511;2019-01-25 14:22:59.092513;TEST_OSIRIS;None
\\TNM\\T\\T3\\;T:T3;T;;2019-01-25 14:22:59.092525;2019-01-25 14:22:59.092527;2019-01-25 14:22:59.092529;TEST_OSIRIS;None
\\TNM\\T\\T4\\;T:T4;T;;2019-01-25 14:22:59.092558;2019-01-25 14:22:59.092561;2019-01-25 14:22:59.092562;TEST_OSIRIS;None
\\TNM\\T\\T4a\\;T:T4a;T;;2019-01-25 14:22:59.092573;2019-01-25 14:22:59.092575;2019-01-25 14:22:59.092577;TEST_OSIRIS;None
\\TNM\\T\\T4b\\;T:T4b;T;;2019-01-25 14:22:59.092587;2019-01-25 14:22:59.092589;2019-01-25 14:22:59.092591;TEST_OSIRIS;None
\\TNM\\T\\T4c\\;T:T4c;T;;2019-01-25 14:22:59.092601;2019-01-25 14:22:59.092603;2019-01-25 14:22:59.092605;TEST_OSIRIS;None
