\\T\\;ID_29;T;;2018-11-21 16:44:51.108093;2018-11-21 16:44:51.108095;2018-11-21 16:44:51.108097;TEST_OSIRIS;None
\\N\\;ID_30;N;;2018-11-21 16:44:51.108149;2018-11-21 16:44:51.108151;2018-11-21 16:44:51.108153;TEST_OSIRIS;None
\\M\\;ID_31;M;;2018-11-21 16:44:51.108203;2018-11-21 16:44:51.108205;2018-11-21 16:44:51.108207;TEST_OSIRIS;None
\\TNMVersion\\;ID_32;TNMVersion;;2018-11-21 16:44:51.108257;2018-11-21 16:44:51.108259;2018-11-21 16:44:51.108261;TEST_OSIRIS;None
\\TNMType\\;ID_33;TNMType;;2018-11-21 16:44:51.108311;2018-11-21 16:44:51.108313;2018-11-21 16:44:51.108314;TEST_OSIRIS;None
\\Type\\;ID_35;Type;;2018-11-21 16:44:51.108398;2018-11-21 16:44:51.108400;2018-11-21 16:44:51.108401;TEST_OSIRIS;None
\\LineNumber\\;ID_36;LineNumber;;2018-11-21 16:44:51.108452;2018-11-21 16:44:51.108454;2018-11-21 16:44:51.108456;TEST_OSIRIS;None
\\ActivityCode\\;ID_37;ActivityCode;;2018-11-21 16:44:51.108507;2018-11-21 16:44:51.108509;2018-11-21 16:44:51.108510;TEST_OSIRIS;None
\\StartDate\\;ID_38;StartDate;;2018-11-21 16:44:51.108579;2018-11-21 16:44:51.108582;2018-11-21 16:44:51.108584;TEST_OSIRIS;None
\\EndDate\\;ID_39;EndDate;;2018-11-21 16:44:51.108636;2018-11-21 16:44:51.108638;2018-11-21 16:44:51.108640;TEST_OSIRIS;None
\\ClinicalTrialContext\\;ID_40;ClinicalTrialContext;;2018-11-21 16:44:51.108691;2018-11-21 16:44:51.108693;2018-11-21 16:44:51.108695;TEST_OSIRIS;None
\\ClinicalTrialName\\;ID_41;ClinicalTrialName;;2018-11-21 16:44:51.108745;2018-11-21 16:44:51.108747;2018-11-21 16:44:51.108748;TEST_OSIRIS;None
\\ClinicalTrialId\\;ID_42;ClinicalTrialId;;2018-11-21 16:44:51.108797;2018-11-21 16:44:51.108800;2018-11-21 16:44:51.108801;TEST_OSIRIS;None
\\SurgeryResectionQuality\\;ID_43;SurgeryResectionQuality;;2018-11-21 16:44:51.108872;2018-11-21 16:44:51.108876;2018-11-21 16:44:51.108879;TEST_OSIRIS;None
\\SurgeryNature\\;ID_44;SurgeryNature;;2018-11-21 16:44:51.108936;2018-11-21 16:44:51.108938;2018-11-21 16:44:51.108940;TEST_OSIRIS;None
\\ResponseEvaluation\\;ID_45;ResponseEvaluation;;2018-11-21 16:44:51.108992;2018-11-21 16:44:51.108994;2018-11-21 16:44:51.108996;TEST_OSIRIS;None
\\ResponseEvaluation\\Date\\;ID_46;Date;;2018-11-21 16:44:51.109019;2018-11-21 16:44:51.109021;2018-11-21 16:44:51.109023;TEST_OSIRIS;None
\\ResponseEvaluation\\Status\\;ID_47;Status;;2018-11-21 16:44:51.109063;2018-11-21 16:44:51.109065;2018-11-21 16:44:51.109067;TEST_OSIRIS;None
\\Date\\;ID_49;Date;;2018-11-21 16:44:51.109168;2018-11-21 16:44:51.109170;2018-11-21 16:44:51.109172;TEST_OSIRIS;None
\\Status\\;ID_50;Status;;2018-11-21 16:44:51.109233;2018-11-21 16:44:51.109235;2018-11-21 16:44:51.109237;TEST_OSIRIS;None
\\Code\\;ID_52;Code;;2018-11-21 16:44:51.109321;2018-11-21 16:44:51.109323;2018-11-21 16:44:51.109324;TEST_OSIRIS;None
\\Date\\;ID_53;Date;;2018-11-21 16:44:51.109375;2018-11-21 16:44:51.109377;2018-11-21 16:44:51.109378;TEST_OSIRIS;None
\\EndDate\\;ID_54;EndDate;;2018-11-21 16:44:51.109434;2018-11-21 16:44:51.109436;2018-11-21 16:44:51.109438;TEST_OSIRIS;None
\\Grade\\;ID_55;Grade;;2018-11-21 16:44:51.109489;2018-11-21 16:44:51.109491;2018-11-21 16:44:51.109493;TEST_OSIRIS;None
\\SampleExternalAccession\\;ID_200;SampleExternalAccession;;2018-11-21 16:44:51.109578;2018-11-21 16:44:51.109581;2018-11-21 16:44:51.109582;TEST_OSIRIS;None
\\ParentSampleExternalAccession\\;ID_201;ParentSampleExternalAccession;;2018-11-21 16:44:51.109633;2018-11-21 16:44:51.109635;2018-11-21 16:44:51.109637;TEST_OSIRIS;None
\\CollectDate\\;ID_202;CollectDate;;2018-11-21 16:44:51.109688;2018-11-21 16:44:51.109690;2018-11-21 16:44:51.109692;TEST_OSIRIS;None
\\TopographyCode\\;ID_203;TopographyCode;;2018-11-21 16:44:51.109742;2018-11-21 16:44:51.109744;2018-11-21 16:44:51.109746;TEST_OSIRIS;None
\\Nature\\;ID_204;Nature;;2018-11-21 16:44:51.109796;2018-11-21 16:44:51.109798;2018-11-21 16:44:51.109799;TEST_OSIRIS;None
\\Origin\\;ID_205;Origin;;2018-11-21 16:44:51.109858;2018-11-21 16:44:51.109862;2018-11-21 16:44:51.109865;TEST_OSIRIS;None
\\StorageTemperature\\;ID_206;StorageTemperature;;2018-11-21 16:44:51.109923;2018-11-21 16:44:51.109925;2018-11-21 16:44:51.109927;TEST_OSIRIS;None
\\TumorCellularity\\;ID_207;TumorCellularity;;2018-11-21 16:44:51.109977;2018-11-21 16:44:51.109979;2018-11-21 16:44:51.109981;TEST_OSIRIS;None
\\Code\\;ID_209;Code;;2018-11-21 16:44:51.110069;2018-11-21 16:44:51.110071;2018-11-21 16:44:51.110073;TEST_OSIRIS;None
\\Value\\;ID_210;Value;;2018-11-21 16:44:51.110123;2018-11-21 16:44:51.110126;2018-11-21 16:44:51.110127;TEST_OSIRIS;None
\\Unit\\;ID_211;Unit;;2018-11-21 16:44:51.110177;2018-11-21 16:44:51.110179;2018-11-21 16:44:51.110181;TEST_OSIRIS;None
\\Code\\;ID_57;Code;;2018-11-21 16:44:51.110264;2018-11-21 16:44:51.110266;2018-11-21 16:44:51.110268;TEST_OSIRIS;None
\\Name\\;ID_58;Name;;2018-11-21 16:44:51.110318;2018-11-21 16:44:51.110320;2018-11-21 16:44:51.110321;TEST_OSIRIS;None
\\Treatment\\;ID_59;Treatment;;2018-11-21 16:44:51.110371;2018-11-21 16:44:51.110373;2018-11-21 16:44:51.110375;TEST_OSIRIS;None
\\Treatment\\Type\\;ID_60;Type;;2018-11-21 16:44:51.110396;2018-11-21 16:44:51.110399;2018-11-21 16:44:51.110400;TEST_OSIRIS;None
\\Treatment\\LineNumber\\;ID_61;LineNumber;;2018-11-21 16:44:51.110439;2018-11-21 16:44:51.110441;2018-11-21 16:44:51.110443;TEST_OSIRIS;None
\\Treatment\\ActivityCode\\;ID_62;ActivityCode;;2018-11-21 16:44:51.110484;2018-11-21 16:44:51.110486;2018-11-21 16:44:51.110488;TEST_OSIRIS;None
\\Treatment\\StartDate\\;ID_63;StartDate;;2018-11-21 16:44:51.110525;2018-11-21 16:44:51.110528;2018-11-21 16:44:51.110529;TEST_OSIRIS;None
\\Treatment\\EndDate\\;ID_64;EndDate;;2018-11-21 16:44:51.110567;2018-11-21 16:44:51.110569;2018-11-21 16:44:51.110571;TEST_OSIRIS;None
\\Treatment\\ClinicalTrialContext\\;ID_65;ClinicalTrialContext;;2018-11-21 16:44:51.110608;2018-11-21 16:44:51.110610;2018-11-21 16:44:51.110612;TEST_OSIRIS;None
\\Treatment\\ClinicalTrialName\\;ID_66;ClinicalTrialName;;2018-11-21 16:44:51.110650;2018-11-21 16:44:51.110652;2018-11-21 16:44:51.110654;TEST_OSIRIS;None
\\Treatment\\ClinicalTrialId\\;ID_67;ClinicalTrialId;;2018-11-21 16:44:51.110691;2018-11-21 16:44:51.110693;2018-11-21 16:44:51.110695;TEST_OSIRIS;None
\\Treatment\\SurgeryResectionQuality\\;ID_68;SurgeryResectionQuality;;2018-11-21 16:44:51.110735;2018-11-21 16:44:51.110738;2018-11-21 16:44:51.110739;TEST_OSIRIS;None
\\Treatment\\SurgeryNature\\;ID_69;SurgeryNature;;2018-11-21 16:44:51.110777;2018-11-21 16:44:51.110779;2018-11-21 16:44:51.110781;TEST_OSIRIS;None
\\Date\\;ID_71;Date;;2018-11-21 16:44:51.110884;2018-11-21 16:44:51.110886;2018-11-21 16:44:51.110888;TEST_OSIRIS;None
\\GeneticAnalysisAuthorization\\;ID_72;GeneticAnalysisAuthorization;;2018-11-21 16:44:51.110940;2018-11-21 16:44:51.110942;2018-11-21 16:44:51.110944;TEST_OSIRIS;None
\\PathologyCode\\;ID_74;PathologyCode;;2018-11-21 16:44:51.111046;2018-11-21 16:44:51.111048;2018-11-21 16:44:51.111050;TEST_OSIRIS;None
\\DiagnosisDate\\;ID_75;DiagnosisDate;;2018-11-21 16:44:51.111105;2018-11-21 16:44:51.111107;2018-11-21 16:44:51.111109;TEST_OSIRIS;None
\\PathologyEndDate\\;ID_76;PathologyEndDate;;2018-11-21 16:44:51.111160;2018-11-21 16:44:51.111162;2018-11-21 16:44:51.111164;TEST_OSIRIS;None
\\TopographyCode\\;ID_78;TopographyCode;;2018-11-21 16:44:51.111249;2018-11-21 16:44:51.111251;2018-11-21 16:44:51.111253;TEST_OSIRIS;None
\\Parentage\\;ID_79;Parentage;;2018-11-21 16:44:51.111303;2018-11-21 16:44:51.111305;2018-11-21 16:44:51.111307;TEST_OSIRIS;None
\\AlterationType\\;ID_81;AlterationType;;2018-11-21 16:44:51.111393;2018-11-21 16:44:51.111397;2018-11-21 16:44:51.111399;TEST_OSIRIS;None
\\ReferenceType\\;ID_82;ReferenceType;;2018-11-21 16:44:51.111450;2018-11-21 16:44:51.111452;2018-11-21 16:44:51.111454;TEST_OSIRIS;None
\\ReferenceDatabase\\;ID_83;ReferenceDatabase;;2018-11-21 16:44:51.111503;2018-11-21 16:44:51.111505;2018-11-21 16:44:51.111507;TEST_OSIRIS;None
\\ReferenceValue\\;ID_84;ReferenceValue;;2018-11-21 16:44:51.111575;2018-11-21 16:44:51.111577;2018-11-21 16:44:51.111579;TEST_OSIRIS;None
